file,noise,snr,PESQ,PermEn,D2,RR,tau,m,CSI
7021-79730-0003.flac,mackey_glass,10,1.463,0.9305,0.0009,0.8373,11,3,0.4601
7021-79730-0003.flac,duffing,-10,1.0551,0.8826,1.2009,0.213,17,3,0.4219
7021-79730-0003.flac,duffing,-5,1.0976,0.8826,1.1411,0.2608,17,3,0.4371
7021-79730-0003.flac,duffing,0,1.1898,0.8826,1.0453,0.349,17,3,0.4645
7021-79730-0003.flac,duffing,5,1.447,0.8827,0.9363,0.5216,17,3,0.5145
7021-79730-0003.flac,duffing,10,1.9061,0.8827,0,0.8692,17,3,0.7221
908-157963-0007.flac,logistic,-10,1.0343,0.9799,3.2988,0.0012,6,8,0.1977
908-157963-0007.flac,logistic,-5,1.0349,0.9788,3.3713,0.0014,5,8,0.1837
908-157963-0007.flac,logistic,0,1.0408,0.9789,3.4891,0.0039,4,8,0.1715
908-157963-0007.flac,logistic,5,1.0536,0.9687,3.4823,0.0214,5,8,0.1675
908-157963-0007.flac,logistic,10,1.1029,0.9645,3.4397,0.1439,3,8,0.168
908-157963-0007.flac,skew_tent,-10,1.0321,0.9792,3.4598,0.0011,9,8,0.2025
908-157963-0007.flac,skew_tent,-5,1.0335,0.9808,3.5496,0.0018,12,8,0.1847
908-157963-0007.flac,skew_tent,0,1.0419,0.9781,3.4951,0.0042,8,8,0.1726
908-157963-0007.flac,skew_tent,5,1.0589,0.9762,3.4914,0.0254,8,8,0.1653
908-157963-0007.flac,skew_tent,10,1.1169,0.9654,3.1714,0.1253,10,8,0.1721
908-157963-0007.flac,henon,-10,1.0396,0.9764,3.3338,0.0014,12,8,0.2072
908-157963-0007.flac,henon,-5,1.0378,0.9775,3.3912,0.0018,11,8,0.1876
908-157963-0007.flac,henon,0,1.0431,0.9713,3.4792,0.0054,8,8,0.1724
908-157963-0007.flac,henon,5,1.0593,0.9718,3.4631,0.0256,5,8,0.164
908-157963-0007.flac,henon,10,1.113,0.961,2.9967,0.1232,5,8,0.1739
908-157963-0007.flac,bernoulli,-10,4.547,0.9227,0.0024,0.9788,5,4,0.4436
908-157963-0007.flac,bernoulli,-5,4.575,0.9227,0.066,0.8585,5,4,0.4263
908-157963-0007.flac,bernoulli,0,4.5961,0.9227,0.2978,0.7107,5,4,0.3816
908-157963-0007.flac,bernoulli,5,4.6139,0.9227,0.4201,0.5543,5,4,0.362
908-157963-0007.flac,bernoulli,10,4.6225,0.9227,0.6594,0.4956,5,4,0.3355
908-157963-0007.flac,ikeda,-10,1.0404,0.979,3.2818,0.0008,7,8,0.1712
908-157963-0007.flac,ikeda,-5,1.0394,0.9799,3.3447,0.0014,8,8,0.1604
908-157963-0007.flac,ikeda,0,1.0437,0.98,3.5007,0.0048,9,8,0.1518
908-157963-0007.flac,ikeda,5,1.0566,0.9747,3.4856,0.03,4,8,0.1522
908-157963-0007.flac,ikeda,10,1.108,0.9597,3.4968,0.1532,2,8,0.1609
908-157963-0007.flac,lorenz,-10,1.0682,0.9457,1.1461,0.2472,17,3,0.3164
908-157963-0007.flac,lorenz,-5,1.1845,0.9297,1.4542,0.197,18,4,0.2873
908-157963-0007.flac,lorenz,0,1.4351,0.9128,1.3607,0.2207,10,4,0.2834
908-157963-0007.flac,lorenz,5,1.8576,0.9703,1.2242,0.3434,2,4,0.2638
908-157963-0007.flac,lorenz,10,2.4331,0.9762,1.3045,0.4016,2,4,0.2548
908-157963-0007.flac,rossler,-10,1.111,0.861,1.1943,0.1983,17,3,0.3843
908-157963-0007.flac,rossler,-5,1.1751,0.8978,1.543,0.1365,23,4,0.3251
908-157963-0007.flac,rossler,0,1.3881,0.8995,1.721,0.2001,10,4,0.3178
908-157963-0007.flac,rossler,5,1.8376,0.8722,1.373,0.3302,5,4,0.3605
908-157963-0007.flac,rossler,10,2.2481,0.9782,1.3818,0.4104,2,4,0.2495
908-157963-0007.flac,chen,-10,1.117,0.88,1.6225,0.1281,9,3,0.3178
908-157963-0007.flac,chen,-5,1.1551,0.8799,2.0437,0.088,10,4,0.2829
908-157963-0007.flac,chen,0,1.2553,0.9366,2.0941,0.1049,12,4,0.2368
908-157963-0007.flac,chen,5,1.4579,0.9143,2.1632,0.1297,10,5,0.2356
908-157963-0007.flac,chen,10,1.797,0.9464,2.302,0.2698,10,5,0.2246
908-157963-0007.flac,mackey_glass,-10,1.1504,0.9584,1.5519,0.1353,12,3,0.2712
908-157963-0007.flac,mackey_glass,-5,1.1621,0.9624,1.6041,0.1372,12,3,0.2555
908-157963-0007.flac,mackey_glass,0,1.3014,0.8919,1.9971,0.1166,13,4,0.2769
908-157963-0007.flac,mackey_glass,5,1.4914,0.93,1.8013,0.1665,13,4,0.2409
